"carat","cut","color","clarity","depth_percentage","table","price","length","width","depth"
0.7,"Ideal","D","SI1",61.4,54,2.822,5.75,5.71,3.52
1.2,"Very Good","F","SI2",62.2,62,5.247,6.7,6.77,4.19
0.7,"Ideal","F","VS1",61.6,55,2.874,5.75,5.71,3.53
1.55,"Premium","J","SI1",62.5,58,7.638,7.4,7.36,4.61
1.08,"Very Good","H","VS2",58.1,62,5.524,6.72,6.74,3.91
0.56,"Ideal","G","VVS1",62.3,55,2.055,5.25,5.31,3.29
1,"Good","H","VS2",63.7,59,4.861,6.3,6.26,4
1,"Premium","F","SI2",59.8,58,3.64,6.53,6.48,3.89
1.01,"Good","G","VS1",63.8,56,6.283,6.27,6.34,4.02
1.03,"Very Good","G","SI2",63,60,3.755,6.35,6.39,4.01
0.71,"Ideal","G","VS2",60.6,56,2.911,5.76,5.8,3.5
1.16,"Good","J","VVS2",61.6,57,5.831,6.79,6.85,4.2
1,"Good","D","VS1",64,58,6.25,6.27,6.21,3.99
1.01,"Premium","F","SI1",62.7,54,4.276,6.42,6.37,4.01
1.01,"Very Good","D","SI1",62.6,56,5.731,6.36,6.39,3.99
1.02,"Very Good","E","VS2",59.2,58,6.612,6.52,6.58,3.88
0.71,"Premium","D","VS1",62.9,57,2.86,5.66,5.6,3.54
0.72,"Good","H","VS1",60,61.2,2.637,5.74,5.83,3.47
1.33,"Premium","H","SI1",61.1,61,7.204,7.05,7.02,4.3
0.72,"Premium","D","SI1",62.6,59,2.732,5.74,5.7,3.58
1.01,"Premium","G","SI2",61.9,60,4.525,6.37,6.33,3.93
1.22,"Good","J","VS1",58.5,61,5.356,6.94,7,4.08
0.75,"Ideal","J","SI1",61.5,56,2.85,5.83,5.87,3.6
1.01,"Premium","G","I1",61.1,61,3.014,6.49,6.35,3.92
1.14,"Good","G","VS2",63.2,58,6.681,6.63,6.67,4.2
1.04,"Very Good","G","SI2",62.9,58,4.2,6.43,6.47,4.06
0.91,"Very Good","E","VS1",61.8,60,5.53,6.17,6.2,3.82
1,"Good","G","VS2",63.7,59,5.484,6.38,6.33,4.05
1.04,"Ideal","H","SI1",62.7,54,4.515,6.51,6.47,4.07
0.71,"Premium","F","VS2",59.3,56,2.84,5.88,5.82,3.47
0.71,"Ideal","E","VS1",60.4,56,3.238,5.8,5.85,3.52
1.12,"Premium","G","SI1",59.5,62,5.181,6.81,6.76,4.04
1.2,"Ideal","H","SI2",61,57,5.712,6.9,6.84,4.19
0.82,"Premium","F","SI1",62.4,56,2.962,6.01,5.98,3.74
1.15,"Ideal","I","VS1",61.3,56,5.93,6.74,6.76,4.14
1,"Very Good","I","SI1",63.2,56,4.088,6.37,6.31,4.01
1.06,"Ideal","H","VVS2",61.8,60,6.698,6.52,6.49,4.02
1.03,"Premium","E","SI2",61,60,4.441,6.46,6.53,3.96
0.73,"Ideal","E","VVS2",62,57,3.78,5.73,5.79,3.57
0.79,"Fair","G","SI1",65.3,76,2.362,5.52,5.13,3.35
0.9,"Fair","G","SI2",64.7,58,3.104,5.94,6.03,3.87
0.7,"Very Good","F","SI2",62.3,58,2.07,5.65,5.71,3.54
0.74,"Premium","E","SI2",62.6,58,2.617,5.77,5.73,3.6
1.29,"Very Good","D","SI2",61.9,58,6.126,6.99,7.03,4.34
0.71,"Ideal","E","VS2",60.9,56,3.053,5.77,5.83,3.53
0.73,"Very Good","G","VVS2",61.4,58,3.288,5.83,5.86,3.59
0.87,"Ideal","G","VS2",61.8,56,4.899,6.11,6.13,3.78
1.22,"Ideal","G","VS2",62,55,7.783,6.83,6.87,4.25
0.81,"Good","H","SI1",65,56,2.599,5.85,5.88,3.81
0.7,"Premium","G","VS2",60.9,60,2.657,5.72,5.68,3.47
1.01,"Premium","E","SI1",59.5,60,5.301,6.54,6.46,3.87
0.9,"Ideal","F","SI1",61.8,57,3.95,6.19,6.21,3.83
0.54,"Ideal","G","VVS1",61.8,55,2.123,5.24,5.27,3.25
0.7,"Ideal","H","SI1",62.6,55,2.294,5.65,5.7,3.55
0.73,"Ideal","E","SI1",60.9,56,2.361,5.84,5.79,3.54
1.02,"Very Good","G","VVS2",63.1,59,7.942,6.45,6.38,4.05
0.74,"Premium","E","VS1",60.9,62,2.999,5.83,5.8,3.54
0.79,"Very Good","J","VS2",60.8,56,2.3,5.98,6.02,3.65
0.9,"Ideal","J","SI1",62.7,56,3.445,6.21,6.16,3.88
1,"Fair","H","VS2",64.8,62,4.861,6.22,6.13,4
1.2,"Very Good","F","SI2",63.3,59,4.274,6.7,6.66,4.23
1.08,"Ideal","I","SI1",60.3,60,4.757,6.67,6.62,4.01
1.02,"Good","I","SI2",57.1,62,3.342,6.66,6.58,3.78
1.09,"Premium","G","SI1",60.2,60,5.402,6.7,6.66,4.02
1.02,"Premium","F","SI1",62.3,58,5.398,6.46,6.38,4
0.7,"Good","I","VS1",61.1,61,2.443,5.65,5.7,3.47
0.73,"Very Good","E","SI1",57.7,61,2.844,5.92,5.96,3.43
0.9,"Good","F","VS2",63.6,59,4.234,6.11,6.06,3.87
1.04,"Ideal","F","SI2",62.1,57,4.754,6.48,6.46,4.02
0.5,"Very Good","F","IF",61.4,60,2.238,5.07,5.1,3.12
0.9,"Very Good","D","SI1",62.5,63,4.068,6.11,6.14,3.83
0.74,"Fair","E","SI2",66.7,62,2.617,5.49,5.43,3.64
1.04,"Premium","F","VS2",59.6,62,6.278,6.62,6.56,3.93
1,"Very Good","F","VS2",63.2,59,6.296,6.35,6.3,4
1.02,"Ideal","G","VS1",61,57,7.324,6.48,6.5,3.96
1.2,"Ideal","I","VS1",62.8,55,6.774,6.79,6.75,4.25
1.17,"Premium","H","SI1",58.5,62,5.831,6.95,6.9,4.05
1,"Premium","H","SI1",58.3,60,4.816,6.5,6.44,3.77
1.28,"Good","J","VS1",59.1,62,5.759,7.06,7.16,4.2
0.76,"Premium","I","VS2",62.8,61,2.175,5.78,5.74,3.62
1.11,"Premium","G","SI1",62.4,58,5.75,6.65,6.61,4.14
1.02,"Very Good","F","VS2",62.8,57,6.911,6.36,6.41,4.01
1.05,"Ideal","F","SI1",61.8,57,4.816,6.54,6.51,4.03
1.25,"Ideal","G","SI1",60.4,57,6.608,7.03,7,4.24
0.7,"Very Good","F","SI1",59.8,59,2.161,5.78,5.82,3.47
1.01,"Fair","F","VS2",64.8,56,4.791,6.3,6.25,4.07
1.2,"Very Good","I","SI1",63.8,57,5.352,6.64,6.72,4.26
0.71,"Very Good","G","SI1",62.7,58,2.274,5.7,5.72,3.58
1.21,"Premium","H","VS2",61,58,7.142,6.9,6.83,4.19
1.01,"Ideal","H","SI2",62.8,56,4.119,6.38,6.45,4.03
0.72,"Ideal","G","SI2",62.6,52,2.295,5.74,5.77,3.6
0.91,"Ideal","F","SI2",62.2,56,3.746,6.17,6.14,3.83
1.24,"Ideal","J","VS2",61.8,58,5.361,6.88,6.84,4.24
1.11,"Very Good","D","SI2",61.3,60,5.042,6.54,6.6,4.03
0.67,"Premium","G","VVS2",60.1,60,2.658,5.66,5.58,3.38
1.19,"Ideal","F","SI1",62.1,56,5.937,6.81,6.84,4.24
0.74,"Premium","E","SI2",62.6,58,2.594,5.73,5.77,3.6
0.62,"Ideal","E","VVS2",62,56,2.904,5.48,5.52,3.41
0.61,"Ideal","G","IF",62.3,56,2.659,5.42,5.46,3.39
1.51,"Fair","I","I1",65.1,57,5.75,7.16,7.12,4.65
1.11,"Ideal","I","SI1",62.2,54,5.006,6.64,6.68,4.14
0.7,"Ideal","H","VVS2",60.9,56,3.325,5.76,5.79,3.52
1.09,"Ideal","G","VS1",61.7,54,7.992,6.65,6.7,4.12
0.78,"Ideal","F","SI2",60.6,55,2.386,6,5.99,3.63
1.3,"Premium","J","SI2",61.1,61,5.14,7,6.95,4.26
1.03,"Very Good","J","SI2",63.1,57,3.64,6.41,6.43,4.05
0.57,"Ideal","G","VS1",61.1,57,2.06,5.34,5.36,3.27
0.71,"Ideal","E","VVS2",61.7,56,4.447,5.78,5.8,3.57
1.02,"Ideal","I","SI1",61.3,57,4.685,6.47,6.49,3.97
0.9,"Premium","D","SI1",62.7,56,4.304,6.16,6.12,3.85
1.21,"Good","E","I1",57.2,62,3.144,7.01,6.95,3.99
1.01,"Premium","J","VS2",62.4,60,3.19,6.45,6.35,3.99
0.72,"Very Good","H","SI1",63.7,57,2.168,5.66,5.7,3.62
1.01,"Premium","E","VS2",58,61,7.24,6.53,6.5,3.94
0.81,"Premium","H","VS1",62.6,58,2.972,5.96,5.9,3.71
0.9,"Very Good","D","SI1",62.5,63,3.997,6.14,6.11,3.83
1.04,"Very Good","G","VS2",61.8,56,6.177,6.47,6.5,4.01
1.26,"Premium","D","SI1",59.5,59,7.903,7.13,7.06,4.22
0.71,"Ideal","I","VS1",61.3,57,2.965,5.73,5.76,3.52
1.51,"Premium","J","VS2",59.6,60,7.418,7.48,7.58,4.49
1.13,"Ideal","H","SI1",62,57,5.05,6.73,6.66,4.15
1.02,"Premium","F","VS1",60.8,59,7.677,6.49,6.46,3.94
0.7,"Good","F","SI2",59,57,2.1,5.8,5.83,3.43
1.13,"Premium","G","SI2",61.5,59,4.647,6.73,6.69,4.13
0.85,"Very Good","D","SI1",60.3,57,3.669,6.09,6.22,3.71
0.7,"Premium","E","VS2",62.5,59,2.737,5.65,5.62,3.52
1.08,"Ideal","G","VS2",62.1,57,5.661,6.57,6.54,4.07
0.9,"Fair","D","SI2",64.7,59,3.205,6.09,5.99,3.91
1.2,"Premium","I","SI1",60.7,59,5.51,6.9,6.87,4.18
0.79,"Very Good","I","SI1",61.8,60,2.296,5.92,5.96,3.67
1.07,"Ideal","H","SI2",62.4,55,4.84,6.56,6.59,4.1
0.9,"Very Good","H","VS2",63,57,4.381,6.09,6.13,3.85
1.21,"Premium","G","VS2",62.2,58,7.32,6.78,6.88,4.25
1.13,"Premium","G","I1",61.2,58,3.746,6.77,6.66,4.11
0.9,"Premium","H","SI1",62.1,61,3.387,6.11,6.07,3.78
1.01,"Premium","F","SI1",62.3,58,5.345,6.44,6.41,4
0.9,"Good","H","VS2",64.3,60,3.89,6.02,6.04,3.88
0.77,"Ideal","D","SI1",62.6,57,2.949,5.81,5.92,3.67
1.23,"Very Good","H","VS2",62.4,58,6.848,6.8,6.85,4.26
0.9,"Premium","F","SI1",59.9,59,4.232,6.26,6.29,3.76
0.74,"Ideal","F","VS2",60.8,57,3.246,5.85,5.87,3.56
0.7,"Ideal","H","VS2",63,55,2.536,5.7,5.67,3.58
1.01,"Ideal","F","SI2",62.5,55,4.497,6.4,6.39,4
0.93,"Good","F","SI2",63.4,54,3.896,6.19,6.24,3.94
1,"Premium","F","VS2",61.9,59,6.64,6.41,6.36,3.95
1.21,"Good","J","IF",62.1,60,6.299,6.81,6.87,4.25
0.8,"Ideal","D","SI2",61.9,54,3.682,5.98,5.96,3.7
1.05,"Ideal","F","SI1",60.6,59,5.586,6.51,6.56,3.96
0.77,"Good","H","SI1",57.2,65,2.457,6.08,6.02,3.46
0.9,"Good","H","SI1",57.1,56,3.726,6.33,6.28,3.6
1.03,"Ideal","J","SI1",61.7,56,4.395,6.49,6.53,4.02
1,"Premium","F","SI2",62.4,61,4.155,6.34,6.32,3.95
0.57,"Premium","E","IF",59.8,60,2.753,5.43,5.38,3.23
1.01,"Premium","G","VS1",59.9,59,6.239,6.48,6.51,3.89
1.11,"Premium","H","SI1",61.9,58,4.96,6.63,6.59,4.09
1.08,"Very Good","G","VS2",63.2,60,6.096,6.53,6.44,4.1
1.5,"Premium","H","SI2",62.1,58,6.458,7.31,7.21,4.51
1.02,"Ideal","E","SI2",62.3,56,3.455,6.42,6.37,3.98
0.7,"Ideal","E","SI2",61,56,2.376,5.78,5.72,3.51
1.27,"Very Good","I","SI1",63,60,6.654,6.86,6.8,4.3
1.7,"Very Good","J","VS2",63.2,58,7.73,7.56,7.5,4.76
0.9,"Very Good","D","VS1",58.9,59,5.195,6.22,6.31,3.69
1.02,"Premium","F","SI2",61.5,58,4.459,6.42,6.49,3.97
1.1,"Ideal","G","VS1",61.3,57,7.688,6.66,6.59,4.06
0.71,"Very Good","D","VS1",64.1,57,3.332,5.64,5.66,3.62
1.11,"Very Good","J","VS1",59.9,56,5.576,6.8,6.77,4.07
0.81,"Good","D","SI1",63.9,58,3.179,5.9,5.85,3.75
1.01,"Very Good","E","SI1",62.1,56,5.461,6.43,6.48,4.01
0.9,"Very Good","D","SI1",63.5,57,4.304,6.15,6.11,3.89
0.79,"Very Good","E","SI1",60.4,59,3.077,5.97,5.99,3.61
0.91,"Very Good","E","SI1",63.1,58,4.434,6.17,6.12,3.88
1,"Good","F","SI1",62.5,57,4.504,6.28,6.39,3.96
0.9,"Fair","D","SI2",64.7,54,3.205,6.1,6.04,3.93
0.73,"Premium","I","VS2",59.7,59,2.246,5.81,5.94,3.51
1.03,"Premium","H","SI1",58.6,61,4.406,6.64,6.6,3.88
1.83,"Fair","H","I1",68,57,6.887,7.47,7.44,5.07
0.72,"Premium","H","VVS1",61.4,58,3.137,5.75,5.78,3.54
0.74,"Good","E","VS1",63.4,55,3.416,5.76,5.78,3.66
1.34,"Premium","J","VS2",62.6,58,5.778,7.08,7.01,4.41
0.9,"Good","J","VVS2",57.4,61,3.193,6.42,6.37,3.67
1.34,"Premium","H","VS2",62.3,60,7.63,7.05,7.02,4.38
0.7,"Very Good","E","VS2",62.6,56,2.513,5.65,5.69,3.55
0.6,"Ideal","G","VS1",62.5,56,2.147,5.37,5.41,3.36
1.19,"Ideal","J","SI1",62,56,4.678,6.8,6.77,4.21
1.31,"Premium","J","SI1",59.4,60,5.446,7.06,7.12,4.21
0.7,"Good","F","SI1",61.6,65,2.401,5.71,5.66,3.5
1.01,"Good","G","SI2",62.8,61,4.21,6.31,6.37,3.98
1.16,"Ideal","D","SI1",62,56,5.911,6.76,6.73,4.18
0.8,"Very Good","F","VS2",62.1,60,3.471,5.86,5.92,3.66
0.91,"Premium","I","VS1",61.9,57,3.669,6.24,6.19,3.85
1.08,"Premium","H","SI1",62.6,58,5.171,6.56,6.53,4.1
1.04,"Premium","H","VVS1",60.4,58,5.102,6.58,6.53,3.96
0.9,"Very Good","H","VS2",62,57,4.155,6.1,6.16,3.8
1.24,"Ideal","H","SI1",61.6,57,6.958,6.92,6.84,4.24
1.21,"Premium","J","SI1",62.6,58,4.269,6.74,6.71,4.21
1,"Good","F","VS2",63.9,62,6.352,6.26,6.32,4.02
0.9,"Good","F","SI2",65.9,60,3.465,5.98,6.01,3.95
1.03,"Fair","H","SI2",67,61,4.038,6.25,6.17,4.16
1.05,"Very Good","G","SI1",59.1,57,4.429,6.63,6.73,3.95
0.91,"Good","F","SI1",64.4,60,3.994,6.05,6.1,3.91
0.75,"Very Good","E","SI1",63.4,57,2.698,5.77,5.75,3.65
0.79,"Very Good","D","VS1",58.8,60,3.798,6.03,6.08,3.56
0.78,"Very Good","F","VS1",63.3,56,3.563,5.84,5.89,3.71
0.9,"Very Good","F","VS2",62.3,59,4.846,6.1,6.16,3.82
0.74,"Very Good","G","VVS2",61.3,56,3.413,5.85,5.9,3.6
0.91,"Very Good","D","SI1",63.1,61,4.041,6.16,6.1,3.87
1.05,"Ideal","E","VS1",62.6,57,7.762,6.5,6.44,4.05
1.01,"Ideal","H","SI1",61.8,54,5.158,6.48,6.44,3.99
0.92,"Very Good","E","SI1",63.3,57,3.586,6.22,6.17,3.92
1.2,"Ideal","H","SI2",61.1,57,4.368,6.9,6.81,4.19
1.21,"Ideal","H","VS2",62.6,55,7.562,6.84,6.78,4.26
0.7,"Premium","F","VS2",58.7,61,2.842,5.8,5.72,3.38
0.9,"Very Good","G","VS2",60.9,59,4.269,6.18,6.24,3.78
0.52,"Ideal","F","VVS1",61.9,55,2.251,5.17,5.2,3.21
1.2,"Premium","I","VS2",61.3,60,4.131,6.79,6.75,4.15
1.06,"Premium","H","VS2",61.1,59,5.152,6.58,6.51,4
1.01,"Ideal","E","VS2",61.4,57,6.956,6.44,6.5,3.97
1.04,"Ideal","H","VS2",61.8,55,5.994,6.51,6.52,4.03
1.1,"Ideal","E","I1",61.9,56,3.872,6.59,6.63,4.09
1,"Good","G","SI1",57.2,59,4.758,6.66,6.62,3.8
1.03,"Ideal","F","VS2",61.4,58,6.809,6.49,6.51,3.99
1.01,"Very Good","D","SI1",62.9,58,5.731,6.33,6.38,4
1.09,"Ideal","E","SI2",61.9,55,5.127,6.64,6.6,4.1
1.12,"Ideal","H","SI1",60.7,56,5.457,6.74,6.7,4.08
1.51,"Fair","H","VS2",65.6,56,7.188,7.08,4.7,4
1.23,"Very Good","F","SI2",61.9,58,6.233,6.77,6.79,4.2
0.7,"Good","F","SI1",62.8,58,2.47,5.6,5.65,3.53
1.01,"Good","D","SI1",63.9,61,5.147,6.31,6.28,4.02
0.6,"Ideal","D","VS2",60.4,57,2.019,5.49,5.53,3.33
1,"Fair","I","I1",65.4,57,2.112,6.28,6.2,4.08
1.01,"Premium","G","VVS2",61.4,58,6.843,6.46,6.51,3.98
1.07,"Very Good","E","VS2",60.4,58,6.441,6.61,6.66,4.01
0.62,"Premium","G","VVS2",59.2,59,2.399,5.58,5.56,3.3
1.13,"Very Good","F","SI2",62.3,59,4.282,6.65,6.68,4.15
1.02,"Very Good","J","SI2",63.1,58,3.359,6.38,6.34,4.01
1.2,"Very Good","D","SI2",63.1,57,5.373,6.68,6.75,4.24
0.85,"Ideal","F","VS2",62.4,57,3.641,6.13,6.01,3.79
1.04,"Ideal","H","SI1",62.3,57,5.102,6.45,6.48,4.03
1.1,"Very Good","E","SI1",61.3,58,4.791,6.64,6.71,4.09
1.56,"Premium","J","VS2",61.7,58,7.904,7.46,7.41,4.59
1.02,"Ideal","F","SI1",62.8,55,5.398,6.43,6.4,4.03
1.01,"Ideal","J","SI1",60.2,59,4.194,6.48,6.51,3.91
1.36,"Very Good","F","SI1",62.8,53,6.597,7.05,7.1,4.45
1.22,"Very Good","G","SI1",63.4,56,6.421,6.75,6.78,4.29
0.73,"Premium","F","SI1",58.7,59,2.644,5.97,5.92,3.49
0.87,"Ideal","F","SI1",61.7,56,4.188,6.1,6.12,3.77
0.78,"Ideal","E","SI1",62.1,58,3.146,5.86,5.9,3.65
1.09,"Ideal","G","VS2",60.6,57,7.227,6.68,6.73,4.06
1,"Premium","F","SI2",59.9,61,4.333,6.46,6.42,3.86
0.73,"Very Good","F","VVS2",61.9,59,3.442,5.72,5.84,3.58
0.92,"Very Good","E","SI2",62.1,58,4.011,6.18,6.22,3.85
0.82,"Very Good","I","VS1",63.6,58.9,2.583,5.88,5.93,3.76
1.04,"Good","J","SI1",64.2,58,3.407,6.42,6.34,4.1
0.72,"Ideal","E","VVS1",61.4,57,4.864,5.74,5.79,3.54
0.59,"Ideal","D","VS1",62,56,2.319,5.35,5.39,3.33
1.14,"Very Good","F","SI2",59.2,63,5.033,6.78,6.86,4.04
1.2,"Very Good","H","VS2",63.2,54,6.423,6.73,6.78,4.27
0.58,"Ideal","G","IF",62.1,56,2.528,5.35,5.37,3.32
1.12,"Very Good","F","VS2",62,58,6.925,6.63,6.69,4.13
0.82,"Ideal","I","SI1",61.8,55,2.959,6,6.03,3.72
1.33,"Ideal","I","VS2",62.5,54,7.186,7.02,7.05,4.4
1.12,"Premium","I","VS1",62.2,59,5.058,6.66,6.59,4.12
1.2,"Very Good","I","SI1",62.4,59,5.816,6.73,6.79,4.22
0.9,"Fair","F","VS2",58.9,67,3.992,6.18,6.17,3.64
1.03,"Premium","H","VS1",61.2,58,5.849,6.55,6.52,4
1.04,"Ideal","G","VS2",61.4,57,6.177,6.5,6.53,4
0.92,"Ideal","J","VS2",61.1,57,3.215,6.31,6.22,3.83
0.84,"Fair","I","VS2",65.1,57,2.359,5.91,5.85,3.83
1.14,"Premium","H","SI1",59.3,59,5.458,6.8,6.76,4.02
0.7,"Very Good","E","VS2",61.8,59,2.845,5.65,5.68,3.5
0.9,"Ideal","G","VVS1",62.8,56,5.978,6.12,6.18,3.86
0.9,"Very Good","J","VS1",62.4,58,3.418,6.15,6.19,3.85
1.2,"Very Good","H","VS1",62,57,6.177,6.77,6.81,4.21
0.75,"Good","D","SI2",59.9,61,2.541,5.9,5.96,3.55
1,"Premium","E","SI1",60.7,59,5.544,6.41,6.38,3.88
1.05,"Ideal","H","SI2",61.8,58,4.604,6.52,6.55,4.04
0.55,"Ideal","D","VS2",62.3,55,2.03,5.29,5.24,3.28
0.92,"Fair","I","VS2",64.4,58,3.033,6.13,6.1,3.94
1.24,"Ideal","H","SI1",62.5,56,6.095,6.92,6.88,4.31
0.9,"Very Good","D","VS1",63.4,58,5.511,6.15,6.09,3.88
0.71,"Fair","D","SI1",65.1,59,2.352,5.59,5.56,3.63
1.04,"Premium","G","VVS1",58.2,60,6.89,6.71,6.66,3.89
1.18,"Very Good","E","I1",63.3,57,3.965,6.7,6.64,4.22
1.01,"Premium","H","SI1",62.8,58,4.642,6.38,6.36,4
0.7,"Ideal","G","VS1",60.8,56,3.3,5.73,5.8,3.51
0.7,"Very Good","F","VS1",59.9,60,2.81,5.77,5.84,3.48
1.05,"Premium","F","SI2",62.6,59,4.557,6.47,6.43,4.04
0.9,"Very Good","I","VS2",58.4,62,3.334,6.29,6.35,3.69
0.73,"Good","E","VS1",60.8,61,3.471,5.77,5.8,3.52
1.02,"Very Good","F","SI2",58.7,63,3.875,6.49,6.46,3.8
0.7,"Premium","H","SI1",60.3,55,2.176,5.8,5.75,3.48
0.74,"Ideal","I","VS1",61.1,57,2.947,5.83,5.86,3.57
0.9,"Good","G","VS1",63.9,60,4.479,6.09,6.14,3.91
1,"Premium","F","VS1",62.3,61,7.336,6.38,6.33,3.96
0.72,"Ideal","H","VVS2",62.3,56,2.752,5.74,5.81,3.6
1.27,"Good","J","VS1",63.4,60,5.588,6.8,6.85,4.33
0.74,"Very Good","G","SI2",62.8,59,2.262,5.71,5.76,3.6
1.17,"Ideal","I","VS1",62.2,53,6.013,6.78,6.81,4.23
0.51,"Ideal","E","VVS1",61.1,54.7,2.691,5.16,5.2,3.17
0.7,"Premium","G","SI2",61.8,61,2.056,5.66,5.63,3.49
1.01,"Fair","G","SI1",65.3,58,4.417,6.14,6.2,4.03
0.72,"Ideal","J","VS1",62.7,57,2.006,5.71,5.74,3.59
1,"Premium","F","VS2",61.7,56,6.608,6.48,6.39,3.97
1.01,"Good","E","SI1",64.3,59,4.106,6.28,6.31,4.05
0.53,"Ideal","F","VVS1",61.6,56,2.922,5.24,5.18,3.21
1.03,"Very Good","G","SI2",61.4,54,4.466,6.52,6.57,4.02
1.21,"Very Good","G","SI2",59.3,59,5.364,6.97,7,4.14
1,"Premium","G","SI2",62.2,57,3.998,6.29,6.25,3.9
1.01,"Very Good","F","VS2",62.7,56,6.159,6.37,6.43,4.01
0.71,"Very Good","I","VS1",63.1,57,2.202,5.68,5.58,3.55
1.08,"Premium","H","VS2",62.9,55,5.775,6.59,6.54,4.13
1.21,"Premium","J","SI2",60.8,58,3.984,6.93,6.88,4.19
1,"Good","H","SI1",64.9,56,4.276,6.24,6.31,4.07
0.75,"Premium","G","SI1",59.1,59,2.622,5.98,5.9,3.51
0.73,"Premium","D","SI1",60.5,58,2.498,5.85,5.82,3.53
1.01,"Ideal","H","VS2",62.3,57,4.821,6.35,6.4,3.97
0.82,"Very Good","D","SI1",61.3,56,3.593,6.02,6.06,3.7
1.14,"Good","G","SI2",63.7,60,4.233,6.69,6.6,4.24
1.06,"Premium","E","VS2",61.3,58,7.408,6.56,6.52,4.01
1.01,"Very Good","H","SI1",62.5,58,4.306,6.35,6.38,3.98
0.72,"Very Good","G","SI2",62.5,56,2.079,5.68,5.71,3.56
0.91,"Good","E","SI1",63.1,58,4.512,6.12,6.17,3.88
1.07,"Ideal","G","SI1",61.7,54,5.532,6.59,6.61,4.07
1.25,"Premium","J","SI1",62,58,5.166,6.9,6.88,4.27
0.54,"Ideal","F","VS2",61.3,57,2.333,5.29,5.24,3.23
0.91,"Good","E","SI2",63.9,61,3.538,6.03,6.09,3.87
0.71,"Premium","D","VS2",62.1,60,2.95,5.72,5.68,3.54
1.07,"Ideal","I","SI1",61.5,57,5.748,6.57,6.59,4.05
0.8,"Very Good","F","VVS2",62.7,58,4.126,5.88,5.92,3.7
0.72,"Very Good","G","VS2",62,56,2.578,5.75,5.77,3.57
0.92,"Ideal","D","SI2",60.3,56,3.997,6.32,6.35,3.82
1.03,"Ideal","G","SI1",60.9,57,5.037,6.54,6.5,3.97
0.7,"Very Good","F","VVS1",63.3,56,3.252,5.7,5.64,3.59
1.03,"Premium","H","SI1",61.9,58,4.932,6.49,6.43,4
1,"Fair","G","VS2",44,53,4.032,6.31,6.24,4.12
0.92,"Premium","H","SI1",59,59,3.709,6.36,6.31,3.74
0.74,"Ideal","F","VS2",62.1,56,3.2,5.83,5.79,3.61
0.9,"Good","H","SI1",62.1,61,3.447,6.07,6.11,3.78
0.92,"Premium","F","SI2",62.1,60,3.083,6.21,6.26,3.87
1.08,"Premium","G","VS2",59.4,59,6.415,6.68,6.75,3.99
0.7,"Very Good","D","VS2",63.1,56,2.985,5.62,5.69,3.57
0.52,"Very Good","G","VVS1",59.2,58,2.045,5.28,5.31,3.14
1.26,"Ideal","I","SI2",59.6,57,4.704,7.04,7.01,4.19
0.7,"Ideal","D","VS2",61.3,57,2.96,5.72,5.76,3.52
0.64,"Ideal","F","VS2",61.1,56,2.419,5.57,5.59,3.41
1.14,"Very Good","F","SI1",61,60,5.819,6.67,6.74,4.09
1.2,"Very Good","H","SI1",61.6,61,6.35,6.81,6.77,4.18
1.01,"Good","E","VS2",65.6,55,5.829,6.16,6.22,4.06
0.73,"Very Good","H","VVS1",60.4,59,2.772,5.83,5.89,3.54
1.04,"Premium","F","SI2",62.8,55,4.321,6.48,6.41,4.05
1.21,"Very Good","J","VS2",61.5,58,5.211,6.85,6.9,4.23
0.56,"Ideal","D","VVS1",61.8,56,3.27,5.28,5.31,3.27
1,"Premium","E","SI2",60.6,61,4.39,6.44,6.39,3.89
1.13,"Premium","H","SI1",62,58,5.05,6.67,6.63,4.12
0.92,"Premium","F","SI1",62.1,60,4.42,6.22,6.21,3.86
1.21,"Ideal","F","VS2",62.6,55,7.826,6.8,6.75,4.24
1.12,"Premium","H","SI1",62.2,60,5.266,6.59,6.65,4.12
0.57,"Premium","E","VVS2",60,61,2.507,5.44,5.36,3.24
1.24,"Very Good","J","SI2",63.3,60,3.908,6.83,6.75,4.29
1.11,"Premium","F","SI2",62.5,59,4.134,6.59,6.53,4.1
0.81,"Ideal","D","SI2",61.9,54,3.16,5.96,5.99,3.7
0.6,"Ideal","F","VS1",61.9,55,2.201,5.4,5.42,3.35
0.9,"Good","E","SI2",61.3,61,3.895,6.13,6.17,3.77
0.71,"Premium","E","VS2",61.3,59,2.63,5.7,5.76,3.51
0.34,"Ideal","D","IF",59.8,57,2.346,4.59,4.57,2.74
0.71,"Good","D","SI2",64.3,56,2.215,5.64,5.59,3.61
1.04,"Premium","I","SI1",62,57,4.368,6.5,6.47,4.02
0.72,"Ideal","E","SI2",62.5,55,2.53,5.69,5.74,3.57
0.91,"Very Good","F","SI1",59.7,55,4.279,6.33,6.36,3.79
1.14,"Ideal","D","SI1",60.9,56,6.07,6.75,6.81,4.13
0.78,"Ideal","D","SI1",62.4,57,3.035,5.87,5.89,3.67
1.41,"Premium","D","SI2",61.1,56,6.988,7.19,7.15,4.38
1.01,"Very Good","F","SI1",60.7,58,5.248,6.4,6.51,3.92
0.71,"Premium","E","SI1",63,58,2.554,5.72,5.68,3.59
1,"Very Good","I","SI2",60.7,59,4.08,6.4,6.46,3.9
0.61,"Ideal","G","VVS1",61.2,56,3.008,5.46,5.48,3.35
